event_count,country_United_States,country_Saudi_Arabia,country_India,country_Britain,country_Italy,average_load_time,max_load_time,event_bench_load_success_count,event_profile_search_success_count,event_add_profile_success_count,event_upgrade_plan_count,event_pricing_model_count,event_profile_load_fail_count,event_email_receipt_count,platform_all_count,platform_brbench_count,platform_fb_count,platform_hashtags_count,platform_ig._count,platform_ig_count,platform_li_count,platform_meta_count,platform_nan_count,platform_tk_count,platform_tw_count,platform_xch_count,platform_yt_count,platform_total_count,view_add,view_addprofiles,view_ads,view_bench,view_benchmark,view_brands,view_campaigns,view_connect,view_content-pillars,view_hashtag,view_nan,view_page,view_postsfeed,view_profile,view_proj,view_projecthome,view_reports,view_search,view_settings,view_upgradeplan
144,0,0,1,0,0,1.137875,2.006,0,5,4,0,0,0,1,0,0,56,0,0,60,0,0,6,0,0,22,0,158.14387499999998,0,0,0,0,0,0,0,0,0,0,34,0,0,104,0,6,0,0,0,0
111,0,0,0,0,1,1.3932,4.136,1,9,2,0,0,0,11,0,0,21,0,0,24,0,0,16,0,0,50,0,140.5292,0,0,0,0,4,5,3,0,0,0,44,0,24,18,0,9,4,0,0,0
20,0,0,0,0,0,1.741,3.141,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,5,2,0,13,0,30.882,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,8.882,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0
3,0,1,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,7.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,1.0514545454545454,2.197,5,1,4,0,0,0,2,0,3,33,0,0,2,0,1,7,0,0,30,0,91.24845454545456,0,0,0,0,19,0,14,0,0,0,28,0,4,8,0,2,1,0,0,0
3,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,7.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
526,0,0,0,0,0,3.5902777777777777,15.165,18,14,13,0,0,0,3,0,0,2,0,0,167,0,0,5,2,0,350,0,592.7552777777778,0,0,0,0,54,11,23,0,0,0,74,0,265,85,0,9,5,0,0,0
83,1,0,0,0,0,0.6768,1.655,2,1,1,1,1,0,12,0,0,0,0,0,25,0,3,27,0,0,30,0,105.3318,0,0,0,0,7,0,13,0,0,0,45,0,7,6,0,4,2,0,0,1
203,0,0,0,0,0,2.283541666666667,8.703,0,9,7,3,3,0,11,0,0,0,0,0,110,0,0,15,0,0,78,0,246.98654166666665,0,0,0,0,0,0,0,0,0,0,73,0,0,96,0,31,0,0,0,3
273,0,0,0,0,0,11.298086206896553,26.21,0,21,20,0,0,0,12,0,0,0,0,0,171,0,0,15,13,0,74,0,363.50808620689656,0,0,0,0,0,0,0,0,0,0,110,0,0,143,0,20,0,0,0,0
3,0,0,1,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,8.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,2.3777777777777778,10.841,6,3,1,3,2,0,2,0,0,1,0,0,321,0,1,10,0,0,85,0,448.2187777777778,0,0,0,0,19,0,26,0,0,0,40,0,19,284,0,15,13,0,0,2
24,0,0,0,0,0,3.609,4.77,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,4,12,40.379,0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,0,0,0,0,0
16,0,0,0,1,0,1.741,3.141,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,33.882,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,5
62,0,0,0,0,0,1.724625,3.225,0,2,2,0,0,2,1,0,0,0,0,0,19,0,0,5,28,0,10,0,73.949625,0,0,0,0,0,0,0,0,0,0,19,0,0,41,0,2,0,0,0,0
173,0,0,0,0,0,1.2559130434782608,2.002,0,3,4,0,0,0,8,0,0,0,0,0,10,0,1,36,9,83,34,0,191.25791304347825,0,0,0,0,0,0,0,0,0,0,71,0,0,86,0,16,0,0,0,0
27,0,0,0,0,0,2.4035,3.297,0,1,1,1,1,1,1,0,0,0,0,0,17,0,0,4,0,0,8,0,40.7005,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,1,0,0,0,0
164,0,0,0,0,0,2.563642857142857,12.414,5,13,12,0,0,0,12,0,0,0,0,0,36,0,0,14,51,0,63,0,220.97764285714285,0,0,0,0,15,0,0,0,0,0,86,0,0,39,0,24,0,0,0,0
34,0,0,1,0,0,1.741,3.141,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,21,0,0,13,0,51.882,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,2,0,0,0,0
174,0,0,0,0,0,4.494264705882353,26.086,5,4,1,0,0,0,8,0,3,1,0,0,1,99,0,14,0,1,54,1,222.58026470588237,0,0,0,0,21,0,16,0,0,0,28,0,12,85,0,8,4,0,0,0
109,1,0,0,0,0,0.8636,1.82,2,5,3,1,1,0,8,0,0,0,0,0,49,0,0,21,0,0,39,0,131.6836,0,0,0,0,8,0,20,0,0,0,41,0,0,35,0,5,0,0,0,0
4,0,1,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,8.882,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,1.7935,2.047,2,17,13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,32,46,0,116.8405,0,0,0,0,6,0,0,0,0,0,68,0,0,0,0,4,0,0,0,1
16,0,0,0,0,0,1.741,3.141,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,13,0,23.882,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
32,0,0,0,1,0,0.3619999999999999,0.62,1,2,5,2,2,0,0,0,0,5,0,0,2,0,0,1,4,0,18,2,45.982,0,0,0,0,6,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2
3,0,0,1,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,8.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,1.741,3.141,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,26.882,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.882,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
159,0,0,0,1,0,1.9981538461538464,3.997,1,4,6,2,2,0,7,0,0,2,0,0,0,83,0,19,0,0,59,0,191.99515384615384,0,0,0,0,10,0,6,0,0,0,59,0,10,58,0,14,4,0,0,2
165,0,0,0,0,0,1.79025,4.556,9,5,5,14,14,0,12,0,0,0,0,0,63,0,0,14,0,0,88,0,230.34625,0,0,0,0,37,0,5,0,0,0,37,0,9,12,0,53,12,0,0,0
2,0,1,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.882,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,12.882,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
261,1,0,0,0,0,1.90514,12.638,29,13,20,0,0,0,0,0,4,35,0,0,13,12,0,1,37,9,110,40,337.54314,0,0,0,0,114,30,4,0,0,0,86,0,4,7,0,16,0,0,0,0
49,0,0,1,0,0,4.36725,12.244,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,40,0,69.61125,0,0,0,0,0,0,0,0,0,30,15,0,0,5,0,0,0,0,0,0
544,0,0,0,0,0,1.7197094017094017,2.723,0,10,10,2,2,0,0,0,0,0,0,0,0,0,0,1,0,458,55,30,572.4427094017094,0,0,0,0,0,0,0,0,0,0,54,0,0,466,1,22,0,0,0,1
41,1,0,0,0,0,0.4588333333333333,0.889,1,1,1,0,0,0,1,0,0,0,0,0,0,9,0,4,0,0,28,0,46.34783333333333,0,0,0,0,4,0,6,0,0,0,11,0,13,0,0,5,2,0,0,0
60,0,0,0,0,0,1.741,3.141,0,4,3,1,1,0,10,0,0,2,0,0,2,0,0,22,0,2,32,0,83.882,1,0,0,0,0,0,0,0,0,0,54,0,0,0,0,2,0,0,3,0
269,0,0,0,0,0,9.518576923076925,37.958,20,39,20,6,6,0,2,0,0,4,0,0,65,0,0,8,46,3,140,3,409.4765769230769,0,0,0,0,79,0,0,0,0,0,152,0,8,2,0,19,3,0,0,6
3,0,0,0,0,0,1.741,3.141,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9.882,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
101,0,0,0,0,0,0.5995833333333334,2.202,1,2,0,0,0,0,11,0,0,39,0,0,2,0,0,13,1,1,45,0,117.80158333333333,0,0,0,0,3,0,11,0,0,0,22,0,55,3,0,5,2,0,0,0
54,0,0,0,0,0,2.6165,3.997,4,7,6,0,0,0,2,0,0,0,0,0,24,0,0,8,0,0,23,0,80.6135,0,0,0,0,12,0,0,0,0,0,37,0,0,0,0,6,0,0,0,0
34,0,0,0,0,0,2.693,3.084,0,1,1,0,0,0,12,0,0,0,0,0,14,0,0,15,0,0,5,0,53.777,0,0,0,0,0,0,0,0,0,0,22,0,0,11,0,1,0,0,0,0
55,0,0,1,0,0,0.8638571428571428,1.277,4,1,1,1,1,0,3,0,0,0,0,0,0,25,0,12,0,0,24,0,75.14085714285714,0,0,0,0,15,0,17,0,0,0,20,0,0,2,0,6,1,0,0,0
43,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,21,0,0,22,0,59.882,0,0,0,2,0,0,0,0,0,1,35,0,0,0,0,5,0,0,0,0
3,0,0,0,0,0,1.741,3.141,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9.882,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
84,1,0,0,0,0,0.6985,1.828,0,3,1,1,1,0,7,0,0,27,0,0,1,0,1,26,0,0,29,0,99.5265,0,0,0,0,0,0,11,0,0,0,41,0,4,21,0,6,1,0,0,0
11,0,0,0,0,0,1.741,3.141,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,17.881999999999998,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0.692,0.692,1,2,5,0,0,0,2,0,0,7,0,0,4,0,0,18,0,0,7,2,49.384,0,0,0,0,3,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,1.92,1.92,0,1,1,0,0,0,12,0,0,0,0,0,0,8,0,15,0,0,6,0,46.84,0,0,0,0,0,0,0,0,0,0,24,0,0,5,0,0,0,0,0,0
210,0,0,0,0,0,1.54825,11.03,21,19,19,4,2,0,1,0,0,34,0,0,33,36,0,4,0,0,103,0,288.57825,0,0,0,0,65,6,0,0,0,0,120,0,0,0,0,15,0,0,0,4
5,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,9.882,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0.8849999999999999,1.194,2,4,3,0,0,0,12,0,0,11,0,0,2,0,0,15,0,0,71,0,122.079,0,0,0,0,7,4,41,0,0,0,37,0,0,0,0,5,5,0,0,0
23,0,0,0,0,0,1.741,3.141,0,1,0,0,0,0,9,0,0,1,0,0,1,0,0,11,0,0,10,0,37.882,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0
2,0,0,1,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.882,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,1.741,3.141,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,0,4,0,37.882,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,1.7275,2.661,3,3,3,1,1,0,12,0,0,6,0,0,0,0,0,17,37,0,22,0,109.3885,0,0,0,0,12,0,0,0,0,0,39,0,5,23,0,2,1,0,0,0
41,1,0,0,0,0,0.566,0.844,1,3,3,0,0,0,12,0,0,5,0,0,0,2,0,14,0,2,18,0,61.41,0,0,0,0,5,0,3,0,0,0,28,0,0,0,0,3,2,0,0,0
7,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,11.882,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,15.052,39.794,1,3,3,0,0,0,12,0,0,0,0,0,14,0,0,19,0,0,12,0,118.846,0,0,0,0,5,0,0,0,0,0,36,0,0,2,0,2,0,0,0,0
22,0,0,0,1,0,1.741,3.141,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,15,0,0,7,0,40.882,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,2.4330512820512817,6.972,1,2,3,9,9,0,1,0,0,30,0,0,123,4,4,3,0,0,116,0,314.4050512820513,0,0,0,0,4,33,14,0,0,0,53,0,8,130,0,30,3,0,0,5
51,0,0,0,0,0,1.741,3.141,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,19,0,0,33,0,79.882,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,2,0,0,0,0
11,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,5,0,17.881999999999998,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,1.596,4.485,3,1,1,3,1,0,12,0,0,3,0,0,14,0,0,17,0,0,37,0,98.081,0,0,0,0,11,0,8,0,0,0,26,0,8,5,0,4,0,0,9,0
50,0,0,0,0,0,1.1915,1.651,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,7,28,0,15,0,58.8425,0,0,0,0,0,0,0,0,0,0,26,0,0,21,0,2,1,0,0,0
28,0,0,0,0,0,1.741,3.141,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,13,0,0,15,0,45.882,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,0,0,0
32,0,0,0,0,0,2.082666666666667,2.204,0,1,1,0,0,0,12,0,0,11,0,0,0,0,0,15,0,0,6,0,50.28666666666667,0,0,0,0,0,0,0,0,0,0,24,0,0,8,0,0,0,0,0,0
75,0,0,1,0,0,0.6257777777777778,2.472,1,9,14,0,0,0,2,0,0,16,0,0,18,0,0,5,0,0,36,0,105.09777777777778,0,0,0,0,13,0,0,0,0,0,56,0,0,3,0,2,1,0,0,0
33,0,0,0,0,0,2.997,2.997,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,12,0,0,16,0,47.994,0,0,0,0,0,0,0,0,0,0,26,0,0,3,0,4,0,0,0,0
19,0,0,1,0,0,1.741,3.141,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,16,0,0,3,0,36.882,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
180,1,0,0,0,0,2.1577083333333333,11.95,0,11,11,1,1,9,2,0,0,0,0,0,112,0,1,4,0,0,63,0,229.1077083333333,0,0,0,0,0,0,0,0,0,0,73,0,0,78,0,29,0,0,0,0
28,0,0,0,0,0,1.741,3.141,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,54.882,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,9
148,0,0,0,0,0,2.7915,6.125,3,16,10,0,0,1,0,0,0,14,0,0,27,0,0,1,20,0,86,0,186.9165,0,0,0,0,10,20,0,0,0,0,69,0,0,30,0,19,0,0,0,0
106,0,0,0,0,0,2.911153846153846,14.573,0,4,4,0,0,3,0,0,0,0,0,0,80,0,0,1,0,0,25,0,134.48415384615384,0,0,0,0,0,0,0,0,0,0,29,0,0,68,0,9,0,0,0,0
37,0,0,0,0,0,2.938,3.333,0,1,1,0,0,0,12,0,0,0,0,0,0,0,0,19,0,10,8,0,57.271,0,0,0,0,0,0,0,0,0,0,25,0,0,8,0,4,0,0,0,0
120,0,0,0,0,0,3.314,12.907,3,13,6,0,0,0,1,0,3,41,0,0,18,0,0,3,5,0,42,8,159.221,0,0,0,0,10,0,0,0,0,0,50,0,0,50,0,10,0,0,0,0
99,1,0,0,0,0,2.7390666666666665,4.267,1,5,5,0,0,0,2,2,0,28,0,0,37,4,0,6,0,4,18,0,119.00606666666668,0,0,0,0,3,0,4,0,0,0,33,0,0,59,0,0,0,0,0,0
62,0,0,0,0,0,0.8077,1.478,2,1,2,0,0,0,12,0,3,11,0,0,0,0,0,17,8,0,23,0,81.28569999999999,0,0,0,0,10,0,7,0,0,0,29,0,4,10,0,1,1,0,0,0
18,0,0,1,0,0,1.741,3.141,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,3,0,25.882,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0.431,0.431,0,1,1,1,1,0,9,0,0,2,0,0,0,0,0,17,0,0,13,0,45.862,0,0,0,0,0,0,8,0,0,0,24,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,1.741,3.141,0,0,0,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,29.882,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,2,0,0,0,5
21,0,0,0,0,0,1.741,3.141,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,14,0,0,7,0,38.882,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0.5644,0.929,5,9,9,3,0,0,11,0,0,25,0,0,6,0,0,23,2,2,30,2,128.4934,0,0,0,0,16,0,0,0,0,0,68,0,0,0,0,3,0,0,3,0
18,0,0,1,0,0,1.741,3.141,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,9,0,29.882,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0
24,0,0,0,0,0,0.577,0.859,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,3,0,0,21,0,31.436,0,0,0,0,0,0,6,0,0,0,11,0,3,0,0,5,0,0,0,1
52,0,1,0,0,0,1.4996666666666665,1.619,0,3,3,1,1,0,10,0,0,0,0,0,15,0,0,20,2,2,13,0,73.11866666666667,0,0,0,0,0,0,0,0,0,0,34,0,0,13,0,5,0,0,0,0
231,0,0,0,0,0,2.848066666666667,7.738,15,17,14,0,0,4,2,0,0,0,0,0,102,0,0,5,42,0,82,0,293.5860666666667,0,0,0,0,48,0,0,0,0,0,91,0,0,59,0,33,0,0,0,0
14,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,1,0,29.882,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,5.416702127659574,30.988,20,7,7,1,1,1,0,0,0,76,0,0,96,0,0,1,0,0,29,0,275.4047021276596,0,0,0,0,74,0,0,0,0,0,37,0,0,84,0,6,0,0,0,1
163,0,0,0,0,0,1.3469545454545455,3.824,0,5,4,0,0,0,11,0,0,32,0,0,24,0,0,15,38,35,19,0,188.17095454545452,0,0,0,0,0,0,0,0,0,0,38,0,0,121,0,4,0,0,0,0
39,0,0,0,1,0,1.4046666666666667,1.603,0,6,3,0,0,0,0,0,0,10,0,0,8,0,0,1,4,0,16,0,52.007666666666665,0,0,0,0,0,0,0,0,0,0,23,0,0,16,0,0,0,0,0,0
7,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,11.882,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0
5,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,9.882,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,1.9082,2.859,0,1,0,5,5,0,11,0,0,0,0,0,0,0,0,24,0,27,15,0,92.7672,0,0,0,0,0,0,0,0,0,0,33,0,0,26,0,2,0,0,0,5
82,0,0,0,0,0,1.0403846153846152,2.029,4,2,2,3,3,0,12,0,0,39,0,0,0,0,0,17,0,0,29,0,114.06938461538462,0,0,0,0,20,0,3,0,0,0,36,0,5,16,0,2,0,0,0,3
32,0,0,1,0,0,1.0735,1.365,1,2,0,0,0,0,2,0,0,0,0,0,7,0,0,12,0,0,13,0,40.438500000000005,0,0,0,0,4,0,0,0,0,0,21,0,0,3,0,4,0,0,0,0
42,0,0,0,0,0,0.326,0.326,1,2,1,0,0,0,2,0,0,0,0,0,8,0,1,5,8,0,20,0,48.652,0,0,0,0,5,0,0,0,0,0,35,0,0,0,0,2,0,0,0,0
